,g,Err_g,r,Err_r,i,Err_i,z,Err_z,extinction_i,w1,w1_sig,w2,w2_sig,psfMag_g,psfMag_r,psfMag_i,psfMag_z,index,g-r,r-i,i-z,z-w1,w1-w2,max_pis,sigs,PhotoZ,Mean_PhotoZ,Mean_delta
14,18.18548,0.007919068000000001,17.26698,0.005563859,16.861929999999997,0.005522991999999999,16.56336,0.01343003,0.07839862,14.142999999999999,0.022000000000000002,14.036,0.087,19.316779999999998,18.535529999999998,18.09986,17.82099,14,0.9184999999999981,0.4050500000000028,0.298569999999998,2.4203600000000005,0.10699999999999932,0.9388768076896667,0.14816594123840332,0.1032902160860831,0.3091915249824524,0.16791367530822754
15,17.99372,0.0070327869999999995,16.98575,0.004814777,16.544610000000002,0.004707102,16.19306,0.009561608000000001,0.06941142,13.534,0.015,13.352,0.035,19.183970000000002,18.151670000000003,17.6819,17.27378,15,1.0079700000000003,0.4411399999999972,0.35155000000000314,2.6590599999999984,0.18200000000000038,0.9516291618347168,0.13601839542388916,0.12707808553766145,0.27288591861724854,0.15145441889762878
16,20.13563,0.023254499999999997,19.06063,0.01372852,18.47854,0.01215292,18.03952,0.02751026,0.05702957,14.849,0.042,14.568,0.07400000000000001,20.79084,19.86756,19.34038,18.76969,16,1.0749999999999993,0.5820900000000009,0.4390199999999993,3.1905199999999994,0.2810000000000006,0.906631588935852,0.12081032991409302,0.21233110104352765,0.4327241778373718,0.14739760756492615
17,20.40944,0.02337458,19.66065,0.01752124,19.32916,0.01879881,19.04593,0.05057041,0.06593427,16.223,0.122,16.009,0.213,20.85555,20.08454,19.75239,19.39874,17,0.7487899999999996,0.33148999999999873,0.2832300000000032,2.8229299999999995,0.21399999999999864,0.7698898315429688,0.15100312232971191,0.15234902937085776,0.783796489238739,0.21954219043254852
18,19.19707,0.01351082,18.26279,0.008924278,17.818270000000002,0.009007321,17.505110000000002,0.01998558,0.06485479,15.032,0.07,14.777000000000001,0.091,20.17295,19.27551,18.79959,18.42221,18,0.9342800000000011,0.44451999999999714,0.3131599999999999,2.473110000000002,0.254999999999999,0.9162889719009399,0.11228311061859131,0.17501763384482447,0.3629063069820404,0.13841310143470764
19,20.07195,0.02180718,19.19516,0.01488945,18.79402,0.01546163,18.459229999999998,0.03871493,0.06208986,15.633,0.066,14.633,0.081,20.69712,20.0337,19.6209,19.127679999999998,19,0.8767899999999997,0.4011400000000016,0.3347900000000017,2.826229999999999,1.0,0.9464665651321411,0.1281430721282959,0.21607967564164493,0.4288407862186432,0.14366839826107025
20,20.23905,0.02545945,19.38767,0.01746463,19.00336,0.01880054,18.6497,0.04729176,0.06159841,15.136,0.059000000000000004,14.625,0.095,20.90081,20.28961,19.94666,19.32837,20,0.8513799999999989,0.38430999999999926,0.3536600000000014,3.5137,0.5109999999999992,0.9555416107177734,0.12609684467315674,0.2245763795237159,0.35352906584739685,0.13776136934757233
21,18.302960000000002,0.006983856,17.412370000000003,0.005313283,17.04928,0.005361289,16.86777,0.00995347,0.07309719,14.065999999999999,0.016,13.942,0.052000000000000005,18.444670000000002,17.6553,17.31638,17.15001,21,0.8905899999999995,0.36309000000000324,0.1815099999999994,2.801770000000001,0.12399999999999878,0.8712441325187683,0.1470518708229065,0.1201315162465091,0.4986072778701782,0.18640804290771484
22,19.19921,0.01290428,18.00314,0.007346162,17.51719,0.02441337,17.11982,0.0140665,0.06780938,14.409,0.037000000000000005,14.13,0.044000000000000004,20.05585,18.92155,18.437260000000002,18.01452,22,1.1960700000000024,0.485949999999999,0.39736999999999867,2.71082,0.2789999999999999,0.7163541316986084,0.20477688312530518,0.13359825585646085,0.7954939603805542,0.2943935692310333
23,21.18894,0.05583603,19.66065,0.02072318,19.03257,0.01830807,18.77648,0.05213667,0.09790435,14.744000000000002,0.032,14.495,0.073,21.65863,20.2998,19.68015,19.35381,23,1.5282899999999984,0.6280800000000006,0.2560900000000004,4.032479999999998,0.24900000000000233,0.9445251226425171,0.061703383922576904,0.3668553678273387,0.42497944831848145,0.0764673575758934
24,19.769779999999997,0.02432303,19.106579999999997,0.01944903,18.65955,0.02266758,18.377779999999998,0.05717597,0.08217093,16.153,0.147,15.93,0.281,20.89977,20.24731,19.71275,19.52968,24,0.6631999999999998,0.44702999999999804,0.28177000000000163,2.224779999999999,0.22299999999999898,0.7996988296508789,0.17242896556854248,0.11357447684943213,0.6942747831344604,0.23570787906646729
25,19.39252,0.01652002,18.6868,0.01340588,18.29986,0.01495713,18.061339999999998,0.04701318,0.04989744,15.494000000000002,0.073,14.832,0.065,20.53513,20.00992,19.6763,19.29628,25,0.7057199999999995,0.3869400000000027,0.23852000000000118,2.567339999999996,0.6620000000000008,0.9526754021644592,0.14809173345565796,0.1540600235820578,0.3514925539493561,0.1625809222459793
26,19.90607,0.02053884,18.734270000000002,0.01071734,18.22405,0.009980521,17.91095,0.02461653,0.10702239999999999,15.309000000000001,0.086,14.919,0.115,20.47847,19.44533,18.91038,18.48435,26,1.1717999999999975,0.5102200000000039,0.3130999999999986,2.6019499999999987,0.39000000000000057,0.8948413729667664,0.09457796812057495,0.23057326150576576,0.44421201944351196,0.1258271187543869
27,13.332279999999999,0.003009303,14.282160000000001,0.0074508659999999996,14.268270000000001,0.01063221,14.069379999999999,0.03906346,0.13716789999999998,14.290999999999999,0.032,14.239,0.040999999999999995,15.91735,15.61718,15.49615,15.47073,27,-0.9498800000000021,0.013889999999999958,0.19889000000000223,-0.2216199999999997,0.051999999999997826,0.8900414705276489,0.8564845323562622,0.0011143169914431996,0.9189550876617432,0.8720217943191528
28,17.65033,0.008271169,17.06243,0.006708154,16.72212,0.00764194,16.47146,0.01963492,0.093314,14.197000000000001,0.016,14.138,0.073,20.048479999999998,19.55869,19.20976,18.84768,28,0.5879000000000012,0.3403099999999988,0.2506599999999999,2.2744599999999995,0.05900000000000105,0.9830982089042664,0.17869818210601807,0.060724748735059855,0.14817620813846588,0.18437296152114868
29,18.40661,0.027545299999999998,17.54456,0.0060579909999999995,17.115560000000002,0.005825065,16.7986,0.01352756,0.09316105,14.519,0.026000000000000002,14.505999999999998,0.063,19.41346,18.65305,18.2313,17.89666,29,0.86205,0.4289999999999985,0.3169600000000017,2.2796000000000003,0.013000000000001677,0.7383252382278442,0.227497398853302,0.15467923836494574,0.7575367093086243,0.30429527163505554
30,19.11103,0.01490285,18.2757,0.01114234,17.85738,0.01142435,17.5106,0.03457869,0.06686333,14.363,0.028999999999999998,13.862,0.039,20.10439,19.47148,19.13362,18.73131,30,0.835329999999999,0.41832000000000136,0.346779999999999,3.1476000000000006,0.5009999999999994,0.9633978009223938,0.13793742656707764,0.1996276928426957,0.3058808445930481,0.14794008433818817
31,19.7541,0.0160626,19.2132,0.01562719,20.79925,0.08850216,18.876260000000002,0.05975223,0.07522584,16.363,0.23600000000000002,15.892000000000001,0.292,20.22719,19.54664,20.49745,19.32426,31,0.5409000000000006,-1.5860500000000002,1.9229899999999986,2.5132600000000025,0.4709999999999983,0.6835712790489197,0.3411087393760681,0.16377753098970152,1.485325574874878,0.4262048304080963
32,20.89584,0.04521661,19.996170000000003,0.02909369,19.725070000000002,0.03295838,19.19087,0.07791041,0.06930009,16.947,0.226,16.308,0.28600000000000003,21.61275,20.760189999999998,20.47867,19.8747,32,0.8996699999999969,0.27110000000000056,0.534200000000002,2.243870000000001,0.6389999999999993,0.7060593366622925,0.16893422603607178,0.3434561969542307,1.2755755186080933,0.25591781735420227
33,20.15804,0.02666121,18.92855,0.01404239,18.38028,0.01385332,18.05356,0.03171832,0.07755725,15.26,0.08,14.95,0.129,21.0441,19.82725,19.27453,18.98759,33,1.2294899999999984,0.5482700000000023,0.3267199999999981,2.793560000000001,0.3100000000000005,0.9369197487831116,0.08515322208404541,0.23388129383185943,0.3550944924354553,0.10423856228590012
34,20.23809,0.02627628,19.287879999999998,0.01699424,18.81794,0.01616453,18.54178,0.0424051,0.05326788,15.282,0.052000000000000005,14.873,0.076,20.94332,20.04724,19.62509,19.19625,34,0.950210000000002,0.4699399999999976,0.27616000000000085,3.2597799999999992,0.4090000000000007,0.9327498078346252,0.12096863985061646,0.19653484795376916,0.38493725657463074,0.14007142186164856
35,18.89859,0.0151435,17.77188,0.009197615,17.237389999999998,0.009252969,16.96376,0.02269671,0.05623227,14.026,0.016,13.739,0.05,20.25921,18.991139999999998,18.62002,18.34052,35,1.1267099999999992,0.5344900000000017,0.27362999999999715,2.937760000000001,0.28699999999999903,0.9714730978012085,0.10499382019042969,0.16138929160685853,0.23082797229290009,0.11379150301218033
36,19.08699,0.01630639,18.17439,0.01315794,17.72552,0.01079424,17.44416,0.02793579,0.05431511,14.628,0.035,14.412,0.068,20.71435,19.98421,19.51342,19.01031,36,0.9126000000000012,0.44886999999999944,0.2813599999999994,2.81616,0.2159999999999993,0.9650681614875793,0.13945037126541138,0.13304299895241056,0.2500039041042328,0.14977425336837769
37,19.000410000000002,0.01312913,18.16806,0.009097693,17.717760000000002,0.008518641,17.39633,0.02007812,0.06172032,14.57,0.03,14.338,0.057999999999999996,20.20038,19.47956,19.04157,18.64722,37,0.8323500000000017,0.4502999999999986,0.321430000000003,2.8263299999999987,0.2320000000000011,0.9666455388069153,0.1320512890815735,0.12058059708640612,0.2473769634962082,0.14239558577537537
38,19.04151,0.01315822,17.83476,0.007488451,17.28782,0.006672116999999999,16.946939999999998,0.01452157,0.03782655,14.078,0.018000000000000002,13.873,0.035,20.08227,18.85342,18.28218,17.95958,38,1.2067499999999995,0.5469399999999993,0.34088000000000207,2.8689399999999985,0.20500000000000007,0.947699248790741,0.09860354661941528,0.2030427303317073,0.3046782612800598,0.11476851254701614
39,19.130779999999998,0.01408387,17.92778,0.008088801999999999,17.41868,0.0073862369999999995,17.09947,0.01624133,0.03787018,14.48,0.033,14.124,0.047,19.98635,18.79828,18.24152,17.950689999999998,39,1.2029999999999994,0.5091000000000001,0.3192099999999982,2.6194699999999997,0.35599999999999987,0.9294455647468567,0.09557265043258667,0.2209355690343914,0.3557470738887787,0.11743997037410736
40,21.69878,0.06442706,20.84261,0.04395534,20.75699,0.0686756,20.46978,0.21509789999999998,0.02961712,16.083,0.107,15.408,0.131,22.093020000000003,21.32732,21.218120000000003,20.68967,40,0.8561699999999988,0.08562000000000225,0.2872099999999982,4.386780000000002,0.6749999999999989,0.9467265605926514,0.15445703268051147,0.7039877459335104,0.8310247659683228,0.1667293757200241
41,19.544420000000002,0.01912413,19.01755,0.01708161,18.74935,0.02041675,18.587529999999997,0.06154063,0.05120131,15.694,0.049,15.434000000000001,0.086,20.05635,19.63073,19.399729999999998,19.20988,41,0.5268700000000024,0.2682000000000002,0.1618200000000023,2.8935299999999966,0.2599999999999998,0.8526995182037354,0.19463270902633667,0.1731053363972001,0.6577256321907043,0.23798206448554993
42,19.885720000000003,0.02123749,18.67761,0.01156897,18.22405,0.01085832,17.8498,0.03062049,0.04941271,15.339,0.07,15.202,0.155,20.3089,19.2143,18.85412,18.36291,42,1.2081100000000013,0.45356000000000307,0.37424999999999997,2.510799999999998,0.13700000000000045,0.8207663297653198,0.09915882349014282,0.21112172519029665,0.5130203366279602,0.15005454421043396
43,17.77703,0.009214915,16.55288,0.005392856999999999,16.066229999999997,0.005098977,15.688360000000001,0.01162127,0.03469961,13.311,0.009000000000000001,13.110999999999999,0.024,19.438579999999998,18.40556,18.0177,17.54264,43,1.2241500000000016,0.4866500000000009,0.37786999999999615,2.3773600000000012,0.20000000000000107,0.9718244671821594,0.1284509301185608,0.12689444462306446,0.21057017147541046,0.137618750333786
44,21.01126,0.07039759,20.24474,0.05032934,20.11714,0.06841057,20.20348,0.29163249999999996,0.03701177,17.462,0.278,16.195,0.21600000000000003,21.74295,21.38254,21.0545,20.93975,44,0.7665199999999999,0.12760000000000105,-0.08633999999999986,2.7414799999999993,1.2669999999999995,0.9505834579467773,0.11709392070770264,0.7940797520974541,0.969933032989502,0.131834015250206
45,22.09013,0.13553959999999998,21.54891,0.13037269999999998,20.82501,0.09478261,20.463079999999998,0.2655278,0.04178249,16.237000000000002,0.08,15.857000000000001,0.20600000000000002,22.49165,21.96423,21.20346,20.8364,45,0.5412199999999991,0.7239000000000004,0.361930000000001,4.226079999999996,0.3800000000000008,0.9338520169258118,0.12176007032394409,0.7152667432211548,0.8700740337371826,0.1391742080450058
46,20.8498,0.04194746,19.48179,0.01933575,18.98525,0.01814206,18.65103,0.05610954,0.04016952,14.95,0.024,14.607000000000001,0.09,21.14613,19.89244,19.38511,19.04566,46,1.3680099999999982,0.49653999999999954,0.33422000000000196,3.7010299999999994,0.3429999999999982,0.9334068894386292,0.06589680910110474,0.3445371088594044,0.42890968918800354,0.08410129696130753
47,20.28902,0.03314016,19.18582,0.0196555,18.67235,0.02041212,18.28282,0.05465456,0.04012801,15.067,0.027999999999999997,14.690999999999999,0.063,21.38188,20.34318,19.817629999999998,19.43991,47,1.103200000000001,0.5134699999999981,0.3895300000000006,3.215820000000001,0.3760000000000012,0.9541298151016235,0.10968232154846191,0.20120259173873797,0.31835317611694336,0.12252812087535858
48,18.07005,0.007028778,17.83635,0.00817936,17.53996,0.008343299,17.50025,0.02725788,0.04397141,15.093,0.069,14.755,0.069,19.04642,18.69389,18.57938,18.529139999999998,48,0.2336999999999989,0.2963899999999988,0.03970999999999947,2.4072500000000012,0.3379999999999992,0.8823009729385376,0.21614491939544678,0.1006654119786928,0.5443123579025269,0.25482720136642456
49,17.88348,0.007212145,16.9619,0.005503333000000001,16.50619,0.005277833000000001,16.181720000000002,0.01370863,0.05099038,13.714,0.011000000000000001,13.469000000000001,0.019,19.13515,18.08124,17.65939,17.367070000000002,49,0.9215799999999987,0.45570999999999984,0.32446999999999804,2.4677200000000017,0.24499999999999922,0.9497722387313843,0.14220595359802246,0.11340879355238577,0.27848052978515625,0.1586548089981079
50,19.4853,0.01741614,18.921129999999998,0.014920300000000001,18.61673,0.01631437,18.50797,0.04941444,0.05390831,15.892000000000001,0.038,15.568,0.057,20.00545,19.44922,19.26618,19.14114,50,0.5641700000000007,0.30439999999999756,0.10876000000000019,2.615969999999999,0.3240000000000016,0.7810825705528259,0.2110598087310791,0.16734205439074124,0.8521447777748108,0.27663806080818176
51,19.34171,0.01602302,19.05407,0.01707382,18.833779999999997,0.01935553,18.76311,0.06602854,0.05051795,16.469,0.071,16.351,0.158,20.41676,20.28121,20.21165,19.85804,51,0.2876399999999997,0.2202900000000021,0.07066999999999624,2.29411,0.1180000000000021,0.6870530843734741,0.3003219962120056,0.09573702681770144,1.1399345397949219,0.3943067491054535
